1	47 MySakila Drive		Alberta	300			2006-02-15T04:45:30Z
2	28 MySQL Boulevard		QLD	576			2006-02-15T04:45:30Z
3	23 Workhaven Lane		Alberta	300		14033335568	2006-02-15T04:45:30Z
4	1411 Lillydale Drive		QLD	576		6172235589	2006-02-15T04:45:30Z
5	1913 Hanoi Way		Nagasaki	463	35200	28303384290	2006-02-15T04:45:30Z
6	1121 Loja Avenue		California	449	17886	838635286649	2006-02-15T04:45:30Z
7	692 Joliet Street		Attika	38	83579	448477190408	2006-02-15T04:45:30Z
8	1566 Inegöl Manor		Mandalay	349	53561	705814003527	2006-02-15T04:45:30Z
9	53 Idfu Parkway		Nantou	361	42399	10655648674	2006-02-15T04:45:30Z
10	1795 Santiago de Compostela Way		Texas	295	18743	860452626434	2006-02-15T04:45:30Z
11	900 Santiago de Compostela Parkway		Central Serbia	280	93896	716571220373	2006-02-15T04:45:30Z
12	478 Joliet Way		Hamilton	200	77948	657282285970	2006-02-15T04:45:30Z
13	613 Korolev Drive		Masqat	329	45844	380657522649	2006-02-15T04:45:30Z
14	1531 Salé Drive		Esfahan	162	53628	648856936185	2006-02-15T04:45:30Z
15	1542 Tarlac Parkway		Kanagawa	440	1027	635297277345	2006-02-15T04:45:30Z
16	808 Bhopal Manor		Haryana	582	10672	465887807014	2006-02-15T04:45:30Z
17	270 Amroha Parkway		Osmaniye	384	29610	695479687538	2006-02-15T04:45:30Z
18	770 Bydgoszcz Avenue		California	120	16266	517338314235	2006-02-15T04:45:30Z
19	419 Iligan Lane		Madhya Pradesh	76	72878	990911107354	2006-02-15T04:45:30Z
20	360 Toulouse Parkway		England	495	54308	949312333307	2006-02-15T04:45:30Z
21	270 Toulon Boulevard		Kalmykia	156	81766	407752414682	2006-02-15T04:45:30Z
22	320 Brest Avenue		Kaduna	252	43331	747791594069	2006-02-15T04:45:30Z
23	1417 Lancaster Avenue		Northern Cape	267	72192	272572357893	2006-02-15T04:45:30Z
24	1688 Okara Way		Nothwest Border Prov	327	21954	144453869132	2006-02-15T04:45:30Z
25	262 A Coruña (La Coruña) Parkway		Dhaka	525	34418	892775750063	2006-02-15T04:45:30Z
26	28 Charlotte Amalie Street		Rabat-Sal-Zammour-Z	443	37551	161968374323	2006-02-15T04:45:30Z
27	1780 Hino Boulevard		Liepaja	303	7716	902731229323	2006-02-15T04:45:30Z
28	96 Tafuna Way		Córdoba	128	99865	934730187245	2006-02-15T04:45:30Z
29	934 San Felipe de Puerto Plata Street		Sind	472	99780	196495945706	2006-02-15T04:45:30Z
30	18 Duisburg Boulevard			121	58327	998009777982	2006-02-15T04:45:30Z
31	217 Botshabelo Place		Southern Mindanao	138	49521	665356572025	2006-02-15T04:45:30Z
32	1425 Shikarpur Manor		Bihar	346	65599	678220867005	2006-02-15T04:45:30Z
33	786 Aurora Avenue		Yamaguchi	474	65750	18461860151	2006-02-15T04:45:30Z
34	1668 Anápolis Street		Taipei	316	50199	525255540978	2006-02-15T04:45:30Z
35	33 Gorontalo Way		West Bengali	257	30348	745994947458	2006-02-15T04:45:30Z
36	176 Mandaluyong Place		Uttar Pradesh	239	65213	627705991774	2006-02-15T04:45:30Z
37	127 Purnea (Purnia) Manor		Piemonte	17	79388	911872220378	2006-02-15T04:45:30Z
38	61 Tama Street		Okayama	284	94065	708403338270	2006-02-15T04:45:30Z
39	391 Callao Drive		Midi-Pyrnes	544	34021	440512153169	2006-02-15T04:45:30Z
40	334 Munger (Monghyr) Lane		Markazi	31	38145	481183273622	2006-02-15T04:45:30Z
41	1440 Fukuyama Loop		Henan	362	47929	912257250465	2006-02-15T04:45:30Z
42	269 Cam Ranh Parkway		Chisinau	115	34689	489783829737	2006-02-15T04:45:30Z
43	306 Antofagasta Place		Esprito Santo	569	3989	378318851631	2006-02-15T04:45:30Z
44	671 Graz Street		Oriental	353	94399	680768868518	2006-02-15T04:45:30Z
45	42 Brindisi Place		Yerevan	586	16744	42384721397	2006-02-15T04:45:30Z
46	1632 Bislig Avenue		Nonthaburi	394	61117	471675840679	2006-02-15T04:45:30Z
47	1447 Imus Way		Tahiti	167	48942	539758313890	2006-02-15T04:45:30Z
48	1998 Halifax Drive		Lipetsk	308	76022	177727722820	2006-02-15T04:45:30Z
49	1718 Valencia Street		Antofagasta	27	37359	675292816413	2006-02-15T04:45:30Z
50	46 Pjatigorsk Lane		Moscow (City)	343	23616	262076994845	2006-02-15T04:45:30Z
51	686 Garland Manor		Cear	247	52535	69493378813	2006-02-15T04:45:30Z
52	909 Garland Manor		Tatarstan	367	69367	705800322606	2006-02-15T04:45:30Z
53	725 Isesaki Place		Mekka	237	74428	876295323994	2006-02-15T04:45:30Z
54	115 Hidalgo Parkway		Khartum	379	80168	307703950263	2006-02-15T04:45:30Z
55	1135 Izumisano Parkway		California	171	48150	171822533480	2006-02-15T04:45:30Z
56	939 Probolinggo Loop		Galicia	1	4166	680428310138	2006-02-15T04:45:30Z
57	17 Kabul Boulevard		Chiba	355	38594	697760867968	2006-02-15T04:45:30Z
58	1964 Allappuzha (Alleppey) Street		Yamaguchi	227	48980	920811325222	2006-02-15T04:45:30Z
59	1697 Kowloon and New Kowloon Loop		Moskova	49	57807	499352017190	2006-02-15T04:45:30Z
60	1668 Saint Louis Place		Tahiti	397	39072	347487831378	2006-02-15T04:45:30Z
61	943 Tokat Street		Vaduz	560	45428	889318963672	2006-02-15T04:45:30Z
62	1114 Liepaja Street		Sarawak	282	69226	212869228936	2006-02-15T04:45:30Z
63	1213 Ranchi Parkway		Karnataka	350	94352	800024380485	2006-02-15T04:45:30Z
64	81 Hodeida Way		Rajasthan	231	55561	250767749542	2006-02-15T04:45:30Z
65	915 Ponce Place		Basel-Stadt	56	83980	1395251317	2006-02-15T04:45:30Z
66	1717 Guadalajara Lane		Missouri	441	85505	914090181665	2006-02-15T04:45:30Z
67	1214 Hanoi Way		Nebraska	306	67055	491001136577	2006-02-15T04:45:30Z
68	1966 Amroha Avenue		Sichuan	139	70385	333489324603	2006-02-15T04:45:30Z
69	698 Otsu Street		Cayenne	105	71110	409983924481	2006-02-15T04:45:30Z
70	1150 Kimchon Manor		Skne ln	321	96109	663449333709	2006-02-15T04:45:30Z
71	1586 Guarujá Place		Hunan	579	5135	947233365992	2006-02-15T04:45:30Z
72	57 Arlington Manor		Madhya Pradesh	475	48960	990214419142	2006-02-15T04:45:30Z
73	1031 Daugavpils Parkway		Béchar	63	59025	107137400143	2006-02-15T04:45:30Z
74	1124 Buenaventura Drive		Mekka	13	6856	407733804223	2006-02-15T04:45:30Z
75	492 Cam Ranh Street		Eastern Visayas	61	50805	565018274456	2006-02-15T04:45:30Z
76	89 Allappuzha (Alleppey) Manor		National Capital Reg	517	75444	255800440636	2006-02-15T04:45:30Z
77	1947 Poços de Caldas Boulevard		Chiayi	114	60951	427454485876	2006-02-15T04:45:30Z
78	1206 Dos Quebradas Place		São Paulo	431	20207	241832790687	2006-02-15T04:45:30Z
79	1551 Rampur Lane		Changhwa	108	72394	251164340471	2006-02-15T04:45:30Z
80	602 Paarl Street		Pavlodar	402	98889	896314772871	2006-02-15T04:45:30Z
81	1692 Ede Loop		São Paulo	30	9223	918711376618	2006-02-15T04:45:30Z
82	936 Salzburg Lane		Uttar Pradesh	425	96709	875756771675	2006-02-15T04:45:30Z
83	586 Tete Way		Kanagawa	256	1079	18581624103	2006-02-15T04:45:30Z
84	1888 Kabul Drive		Oyo & Osun	217	20936	701457319790	2006-02-15T04:45:30Z
85	320 Baiyin Parkway		Mahajanga	319	37307	223664661973	2006-02-15T04:45:30Z
86	927 Bahía Blanca Parkway		Krim	479	9495	821972242086	2006-02-15T04:45:30Z
87	929 Tallahassee Loop		Gauteng	497	74671	800716535041	2006-02-15T04:45:30Z
88	125 Città del Vaticano Boulevard		Puebla	40	67912	48417642933	2006-02-15T04:45:30Z
89	1557 Kütahya Boulevard		England	88	88002	720998247660	2006-02-15T04:45:30Z
90	870 Ashqelon Loop		Songkhla	489	84931	135117278909	2006-02-15T04:45:30Z
91	1740 Portoviejo Avenue		Sucre	480	29932	198123170793	2006-02-15T04:45:30Z
92	1942 Ciparay Parkway		Cheju	113	82624	978987363654	2006-02-15T04:45:30Z
93	1926 El Alto Avenue		Buenos Aires	289	75543	846225459260	2006-02-15T04:45:30Z
